primary_metal,secondary_metal,primary_pct,secondary_pct,hydrothermal_temp_C,annealing_temp_C,annealing_time_min,catalyst_loading_mg_cm2,proton_conc_M,overpotential_mV
Co,None,95.0,5.0,80,400,60.0,490.0,1.0,442
Co,None,88.88888889,11.11111111,80,400,60.0,490.0,1.0,454
Co,None,90.0,10.0,80,300,60.0,490.0,1.0,415
Co,None,90.0,10.0,80,500,60.0,490.0,1.0,411
Ru,Y,50.0,50.0,80,900,360.0,0.071,1.0,310
Ru,Y,50.0,47.5,80,900,360.0,0.071,1.0,283
Ru,Y,50.0,45.0,80,900,360.0,0.071,1.0,273
Ru,Y,50.0,42.5,80,900,360.0,0.071,1.0,265
Ru,Y,50.0,40.0,80,900,360.0,0.071,1.0,269
Ru,None,100.0,0.0,25,600,120.0,0.166666666,1.0,296
Ru,None,100.0,0.0,25,700,120.0,0.166666666,1.0,283
Ru,None,100.0,0.0,25,800,120.0,0.166666666,1.0,257
Ru,None,100.0,0.0,25,900,120.0,0.166666666,1.0,270
Ir,None,50.0,50.0,25,500,15.0,0.163,0.1,290
Ir,None,50.0,50.0,25,550,15.0,0.163,0.1,274
Ir,None,50.0,50.0,25,600,15.0,0.163,0.1,285
Ir,None,100.0,0.0,160,400,180.0,0.00629109,1.0,404
Ir,None,100.0,0.0,160,600,180.0,0.00629109,1.0,315
Ir,None,100.0,0.0,160,800,180.0,0.00629109,1.0,350
Ru,None,100.0,0.0,-196,500,360.0,0.098,1.0,169
Ru,None,58.00112333,41.99887667,180,250,60.0,0.178977272,1.0,236
Ru,None,58.00112333,41.99887667,180,250,60.0,0.178977272,1.0,249
Ru,None,58.00112333,41.99887667,180,250,60.0,0.178977272,0.1,245
Ru,None,58.00112333,41.99887667,180,250,60.0,0.178977272,0.1,258
Ru,Co,51.67019554,48.32980446,25,350,240.0,0.8492569,1.0,197
Ru,Co,58.38582835,41.61417165,25,350,240.0,0.8492569,1.0,191
Ru,Co,65.16533159,34.83466841,25,350,240.0,0.8492569,1.0,175
Ru,Co,73.72607633,26.27392367,25,350,240.0,0.8492569,1.0,170
Ru,Co,65.16533159,34.83466841,25,400,240.0,0.8492569,1.0,181
Ru,Co,65.16533159,34.83466841,25,450,240.0,0.8492569,1.0,193
Ru,Co,65.16533159,34.83466841,25,500,240.0,0.8492569,1.0,215
Sr,None,50.0,25.0,25,1100,1440.0,0.255102,0.1,386
Sr,Co,50.0,25.0,25,1100,1440.0,0.255102,0.1,415
Sr,None,66.66666667,16.66666667,25,1300,1440.0,0.255102,0.1,413
Ir,None,100.0,0.0,25,300,90.0,0.2038,0.1,255
Ru,Co,69.65593248,30.34406752,200,900,240.0,0.0905,1.0,190
Co,None,100.0,0.0,200,900,240.0,0.0905,1.0,465
Ir,None,100.0,0.0,25,550,2.0,0.8492569,2.0,280
Ru,Ir,70.0,30.0,70,450,60.0,0.4,0.2,251
Ru,Y,50.0,50.0,80,1000,360.0,0.025,0.1,326
Ru,None,50.0,50.0,80,1000,360.0,0.025,0.1,336
Ru,None,50.0,50.0,80,1000,360.0,0.025,0.1,343
Sr,Ir,79.51807229,6.827309237,180,600,360.0,0.21,0.1,247
Ir,None,100.0,0.0,180,600,360.0,0.21,0.1,319
Ir,None,90.0,10.0,180,400,60.0,0.38,1.0,328
Ir,None,70.0,30.0,180,400,60.0,0.38,1.0,345
Ir,None,50.0,50.0,180,400,60.0,0.38,1.0,357
Ru,None,100.0,0.0,195,400,60.0,0.01,1.0,297
Ir,None,100.0,0.0,195,400,60.0,0.01,1.0,463
Ru,Ir,50.0,50.0,195,400,60.0,0.01,1.0,415
Ir,None,100.0,0.0,150,600,360.0,0.2,0.1,370
Ir,None,100.0,0.0,150,200,360.0,0.2,0.1,330
Ru,Y,50.0,50.0,80,1100,720.0,0.246,1.0,302
Ru,Y,50.0,47.5,80,1100,720.0,0.246,1.0,269
Ru,Y,50.0,46.25,80,1100,720.0,0.246,1.0,259
Ru,Y,50.0,43.75,80,1100,720.0,0.246,1.0,263
Ru,Y,50.0,40.0,80,1100,720.0,0.246,1.0,273
Ir,None,50.20710026,45.80946776,80,200,60.0,0.0509554,1.0,382
Ir,None,100.0,0.0,80,200,60.0,0.0509554,1.0,352
Ir,None,70.0,30.0,250,600,6.0,0.2,0.1,351
Ir,None,90.0,10.0,250,600,6.0,0.2,0.1,375
Ru,None,100.0,0.0,160,350,240.0,0.275,1.0,184
Ru,None,75.00418196,24.99581804,160,250,240.0,0.275,1.0,180
Ru,None,75.00418196,24.99581804,160,350,240.0,0.275,1.0,177
Ru,None,75.00418196,24.99581804,160,450,240.0,0.275,1.0,206
Ir,None,54.54545455,45.45454545,240,25,0.0,0.012,0.1,307
Sr,Ir,98.42007435,1.579925651,180,700,720.0,0.21,0.1,243
Sr,Ir,50.0,50.0,25,1150,60.0,0.21,0.1,310
Ru,None,100.0,0.0,25,300,240.0,0.275,1.0,188
Ru,None,100.0,0.0,25,400,240.0,0.275,1.0,201
Ru,None,100.0,0.0,25,500,240.0,0.275,1.0,230
Ru,None,100.0,0.0,25,600,240.0,0.275,1.0,367
Ir,None,58.72483221,41.27516779,150,400,360.0,0.1716,0.1,312
Ir,None,100.0,0.0,150,600,360.0,0.2,0.1,339
Co,None,50.0,50.0,200,200,1440.0,0.85,1.0,570
Co,None,50.0,50.0,200,200,1440.0,1.0,1.0,870
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,540
Co,None,49.80718298,49.80718298,200,200,1440.0,1.0,1.0,380
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,520
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,510
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,500
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,490
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,450
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,410
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,370
Co,None,49.80718298,49.80718298,200,200,1440.0,0.85,1.0,480
Co,None,49.90340524,49.90340524,200,200,1440.0,0.85,1.0,513
Co,None,49.61584738,49.61584738,200,200,1440.0,0.85,1.0,563
Ir,Ru,50.69969717,49.30030283,180,550,30.0,0.05,1.0,333
Ir,Ru,43.66294726,42.45777869,180,550,30.0,0.05,1.0,225
Ir,Ru,43.66294726,42.45777869,180,750,30.0,0.05,1.0,266
Ir,Ru,50.69969717,49.30030283,180,550,30.0,0.05,1.0,281
Ir,Ru,50.69969717,49.30030283,180,550,30.0,0.05,0.1,448
Ir,Ru,43.66294726,42.45777869,180,550,30.0,0.05,0.1,239
Ir,Ru,43.66294726,42.45777869,180,750,30.0,0.05,0.1,290
Ir,Ru,50.69969717,49.30030283,180,550,30.0,0.05,0.1,319
Ru,None,97.9,2.1,180,25,0.0,0.1632648,1.0,234
Ir,None,99.1,0.9,180,25,0.0,0.1632648,1.0,312
Ru,None,97.9,2.1,180,25,0.0,0.1632648,0.1,260
Ir,None,99.1,0.9,180,25,0.0,0.1632648,0.1,341
Ru,None,97.9,2.1,180,25,0.0,0.1632648,1.0,234
Ir,None,100.0,0.0,80,250,30.0,0.05,0.1,286
Ir,None,100.0,0.0,80,250,30.0,0.05,0.1,299
Ir,None,100.0,0.0,80,250,30.0,0.05,0.1,315
Ir,None,33.33333333,33.33333333,25,1200,240.0,1.0,0.1,302
Ir,None,40.0,40.0,25,1200,240.0,1.0,0.1,343
Ir,None,33.33333333,33.33333333,25,1000,240.0,1.0,0.1,317
Ir,None,33.33333333,33.33333333,25,1400,240.0,1.0,0.1,310
Ir,None,50.0,50.0,240,25,0.0,0.402,2.0,318
Na,Ru,99.0,1.0,25,350,3.0,0.03125,1.0,235
Na,Ru,99.0,1.0,25,350,3.0,0.0615,1.0,222
Na,Ru,99.0,1.0,25,350,3.0,0.125,1.0,210
Na,Ru,99.0,1.0,25,350,3.0,0.25,1.0,199
Na,Ru,99.0,1.0,25,350,3.0,0.375,1.0,190
Na,Ru,99.0,1.0,25,350,180.0,0.125,1.0,221
Ir,None,100.0,0.0,90,25,0.0,0.0051,0.1,328
Ir,None,55.35091791,44.64908209,90,25,0.0,0.0051,0.1,292
Ir,None,55.35091791,44.64908209,90,25,0.0,0.0102,0.1,276
Ir,None,55.35091791,44.64908209,90,25,0.0,0.051,0.1,256
Ru,None,100.0,0.0,90,25,0.0,0.0051,0.1,240
Ru,None,55.35091791,44.64908209,90,25,0.0,0.0051,0.1,229
Na,Ir,99.18286841,0.817131586,90,400,120.0,0.125,1.0,312
Ir,None,100.0,0.0,160,25,0.0,0.02140127,0.1,290
Ir,None,85.0,15.0,25,500,60.0,0.024,1.0,270
Ir,None,80.0,20.0,25,500,60.0,0.024,1.0,224
Ir,None,75.0,25.0,25,500,60.0,0.024,1.0,238
Ru,None,50.0,50.0,25,800,420.0,0.2,1.0,239
Ir,None,90.0,10.0,25,550,120.0,0.1,1.0,379
Ir,None,70.0,30.0,25,550,120.0,0.1,1.0,427
Ir,None,50.0,50.0,25,550,120.0,0.1,1.0,446
Ir,None,100.0,0.0,25,550,120.0,0.1,1.0,403
Ru,Ir,51.5780545,48.4219455,198,25,0.0,0.050955,0.1,284
Ir,Ru,50.65544242,49.34455758,198,25,0.0,0.050955,0.1,342
Co,None,80.0,20.0,25,450,30.0,1.0,1.0,587
Ir,None,100.0,0.0,280,25,0.0,5.0,1.0,316
Ir,None,75.0,25.0,280,25,0.0,5.0,1.0,287
Ir,None,50.0,50.0,280,25,0.0,5.0,1.0,279
Ir,None,100.0,0.0,300,25,0.0,0.092,0.5,336
Ir,Ni,50.0,50.0,300,25,0.0,0.111224167,0.5,319
Ir,Ni,40.0,40.0,300,25,0.0,0.125742917,0.5,304
Ir,Ni,33.33333333,33.33333333,300,25,0.0,0.130117708,0.5,286
Ru,None,82.9927883,17.0072117,230,25,0.0,0.10191,1.0,235
Ru,None,82.9927883,17.0072117,230,25,0.0,0.10191,1.0,201
Ru,None,82.9927883,17.0072117,230,25,0.0,0.10191,1.0,224
Ru,None,100.0,0.0,-77,250,,0.75,6.0,297
Ru,None,100.0,0.0,-77,300,,0.75,6.0,313
Ru,None,100.0,0.0,-77,300,,0.43,6.0,282
Ru,None,100.0,0.0,-77,300,,0.74,6.0,270
Ru,None,100.0,0.0,-77,350,,0.72,6.0,273
Ru,None,100.0,0.0,180,25,0.0,0.12,0.1,224
Ru,None,100.0,0.0,180,25,0.0,0.12,0.1,236
Ru,None,100.0,0.0,180,25,0.0,0.12,0.1,269
Ir,None,100.0,0.0,150,25,0.0,0.14,1.0,314
Ir,None,100.0,0.0,150,25,0.0,0.14,1.0,305
Ir,None,100.0,0.0,150,25,0.0,0.14,1.0,283
Co,None,100.0,0.0,25,600,180.0,0.254777,0.1,485
Co,Ru,94.60817912,5.391820882,25,600,180.0,0.254777,0.1,390
Co,Ru,87.25701944,12.74298056,25,600,180.0,0.254777,0.1,323
Co,Ru,79.97737557,20.02262443,25,600,180.0,0.254777,0.1,340
Co,Ru,71.97149644,28.02850356,25,600,180.0,0.254777,0.1,408
Co,Ru,87.25701944,12.74298056,25,150,180.0,0.254777,0.1,320
Co,Ru,87.25701944,12.74298056,25,300,180.0,0.254777,0.1,297
Co,Ru,87.25701944,12.74298056,25,400,180.0,0.254777,0.1,351
Co,Ru,87.25701944,12.74298056,25,500,180.0,0.254777,0.1,376
Ir,None,100.0,0.0,150,250,0.0,0.14,1.0,299
Ir,None,100.0,0.0,25,800,60.0,0.02502,0.1,264
Ir,None,50.0,50.0,80,550,5.0,2.0,1.0,420
Ru,Ir,66.66666667,33.33333333,80,600,120.0,0.35,1.0,251
Ru,Ir,50.0,50.0,80,600,120.0,0.35,1.0,241
Ir,Ru,66.66666667,33.33333333,80,600,120.0,0.35,1.0,260
Ir,None,100.0,0.0,80,600,120.0,0.35,1.0,317
Sr,Ir,80.0,20.0,25,1200,30.0,0.266666667,0.1,287
Sr,Ir,66.66666667,33.33333333,25,1200,30.0,0.18,0.1,286
Sr,Ir,50.0,50.0,25,900,720.0,0.136666667,0.1,353
Ir,None,100.0,0.0,25,900,720.0,0.093333333,0.1,396
Sr,Ir,80.0,20.0,25,1200,30.0,0.266666667,1.0,342
Sr,Ir,66.66666667,33.33333333,25,1200,30.0,0.18,1.0,291
Sr,Ir,50.0,50.0,25,900,720.0,0.136666667,1.0,378
Ir,None,100.0,0.0,25,900,720.0,0.093333333,1.0,442
Ru,None,88.49557522,11.50442478,135,25,0.0,0.407643312,0.1,225
Ir,None,90.0,10.0,220,400,720.0,0.2,0.1,318
Ir,None,80.0,20.0,220,400,720.0,0.2,0.1,309
Ir,None,70.0,30.0,220,400,720.0,0.2,0.1,323
Ir,None,60.0,40.0,220,400,720.0,0.2,0.1,302
Ir,None,100.0,0.0,200,25,0.0,0.05,1.0,264
Ir,None,100.0,0.0,25,25,0.0,0.05,1.0,288
Ti,Ir,83.14321322,16.85678678,80,400,60.0,0.035258784,1.0,236
Ir,Ru,50.0,50.0,80,450,60.0,0.379,1.0,312
Ir,Ru,66.66666667,33.33333333,80,450,60.0,0.379,1.0,299
Ir,Ru,75.0,25.0,80,450,60.0,0.379,1.0,281
Ir,Ru,80.0,20.0,80,450,60.0,0.379,1.0,301
Ir,None,100.0,0.0,25,450,60.0,0.379,1.0,317
Ir,Ru,75.0,25.0,25,450,60.0,0.379,1.0,293
Ir,Ru,75.0,25.0,80,450,60.0,0.279,1.0,291
Ir,Ru,75.0,25.0,80,450,60.0,0.179,1.0,304
Ir,Ru,75.0,25.0,80,450,60.0,0.1,1.0,316
Ir,Ru,75.0,25.0,80,450,60.0,0.079,1.0,324
Ru,None,100.0,0.0,190,300,120.0,0.0135,1.0,431
Ru,None,50.0,50.0,190,300,120.0,0.0135,1.0,270
Ru,None,66.66666667,33.33333333,140,25,0.0,0.4076433,0.1,220
Ru,None,90.0,10.0,80,400,120.0,0.33,1.0,224
Ru,None,80.0,20.0,80,400,120.0,0.33,1.0,213
Ru,None,70.0,30.0,80,400,120.0,0.33,1.0,213
Ru,None,90.0,10.0,80,400,120.0,0.33,1.0,193
Ru,None,70.0,20.0,80,400,120.0,0.33,1.0,168
Ru,None,60.0,20.0,80,400,120.0,0.33,1.0,174
Ru,None,100.0,0.0,25,300,120.0,0.0028,1.0,267
Ir,Ni,72.53445334,27.46554666,200,25,0.0,0.188461538,1.0,329
Ir,Ni,72.53445334,27.46554666,190,25,0.0,0.188461538,1.0,318
Ir,Ni,72.53445334,27.46554666,180,25,0.0,0.188461538,1.0,315
Ru,None,100.0,0.0,160,25,0.0,0.0246,0.1,223
Ru,None,90.0,10.0,160,25,0.0,0.0246,0.1,208
Ru,None,90.0,10.0,160,400,120.0,0.0246,0.1,248
Ti,Ir,98.32884097,1.67115903,160,25,0.0,0.01895,1.0,429
Ti,Ir,94.60869565,5.391304348,160,25,0.0,0.05685,1.0,324
Ti,Ir,87.84313725,12.15686275,160,25,0.0,0.1137,1.0,293
Ti,Ir,82.28571429,17.71428571,160,25,0.0,0.1516,1.0,284
Ti,Ir,75.59055118,24.40944882,160,25,0.0,0.1895,1.0,274
Ti,Ir,67.36842105,32.63157895,160,25,0.0,0.2274,1.0,265
Ti,Ir,57.02970297,42.97029703,160,25,0.0,0.2653,1.0,270
Ti,Ir,67.36842105,32.63157895,160,25,0.0,0.1674,1.0,275
Ti,Ir,67.36842105,32.63157895,160,25,0.0,0.1074,1.0,285
Ti,Ir,67.36842105,32.63157895,160,25,0.0,0.0474,1.0,294
Ru,Ir,92.0,8.0,220,25,0.0,0.05,1.0,165
Ru,Ir,92.0,8.0,230,25,0.0,0.05,1.0,242
Ru,Ir,92.0,8.0,220,25,0.0,0.05,0.1,170
Ru,Ir,92.0,8.0,230,25,0.0,0.05,0.1,181
Ru,Ir,92.0,8.0,230,500,5.0,0.05,1.0,284
Sr,Ir,88.86129964,11.13870036,150,700,360.0,0.9,1.0,248
Ir,None,100.0,0.0,80,150,60.0,0.0091,1.0,250
Ir,None,100.0,0.0,80,400,60.0,0.0091,1.0,290
Ru,None,100.0,0.0,90,400,60.0,0.18,1.0,310
Ru,Ir,80.0,20.0,90,400,60.0,0.18,1.0,362
Ir,Ru,80.0,20.0,90,400,60.0,0.18,1.0,399
Ir,None,100.0,0.0,160,250,120.0,0.0102,0.1,454
Ir,None,100.0,0.0,60,400,5.0,0.042,1.0,236
Ir,None,50.0,50.0,100,900,1440.0,0.057,0.1,298
Ir,None,50.0,50.0,100,900,1440.0,0.057,0.1,325
Ir,None,50.0,50.0,100,900,1440.0,0.057,0.1,354
Ir,None,50.0,50.0,100,900,1440.0,0.057,0.1,387
Ir,None,50.0,50.0,100,900,1440.0,0.057,0.1,409
Ir,None,100.0,0.0,25,450,120.0,0.816,1.0,334
Ir,None,50.0,50.0,25,400,120.0,0.816,1.0,284
Ir,None,50.0,50.0,25,450,120.0,0.816,1.0,267
Ir,None,50.0,50.0,25,500,120.0,0.816,1.0,321
Ir,None,66.66666667,33.33333333,25,450,120.0,0.816,1.0,432
Ru,None,100.0,0.0,180,400,60.0,0.101910828,1.0,260
Ru,None,100.0,0.0,25,500,60.0,0.101910828,1.0,280
Ru,None,100.0,0.0,120,350,720.0,0.138857142,1.0,260
Ru,Ir,90.0,10.0,25,400,60.0,0.38,1.0,270
Sr,Ir,88.86129964,11.13870036,150,500,180.0,0.45,0.1,252
Sr,Ir,87.88240387,11.01599648,150,500,180.0,0.45,0.1,238
Sr,Ir,87.40099932,10.95565276,150,500,180.0,0.45,0.1,247
Sr,Ir,86.92484014,10.89596655,150,500,180.0,0.45,0.1,234
Sr,Ir,86.45384106,10.83692715,150,500,180.0,0.45,0.1,284
Sr,Ir,85.98791866,10.77852411,150,500,180.0,0.45,0.1,289
Sr,Ir,86.92484014,10.89596655,150,500,180.0,0.45,0.1,290
Sr,Ir,86.92484014,10.89596655,150,500,180.0,0.45,0.1,263
Sr,Ir,86.92484014,10.89596655,150,500,180.0,0.45,0.1,251
Sr,Ir,86.92484014,10.89596655,150,500,180.0,0.45,0.1,275
Sr,Ru,50.0,50.0,140,800,720.0,0.5,0.1,186
Sr,Ru,50.0,47.5,140,950,720.0,0.5,0.1,138
Sr,Ru,50.0,45.0,140,950,720.0,0.5,0.1,152
Sr,Ru,50.0,40.0,140,950,720.0,0.5,0.1,143
Sr,Ir,50.0,25.0,140,900,3600.0,0.255,0.1,295
Sr,Ir,50.0,25.0,140,1100,720.0,0.255,0.1,305
Sr,Ir,50.0,25.0,140,1100,720.0,0.255,0.1,330
Sr,Ir,50.0,25.0,140,1100,720.0,0.255,0.1,420
Ir,None,100.0,0.0,30,25,0.0,0.00392,0.1,309
Ir,None,100.0,0.0,60,25,0.0,0.00392,0.1,301
Ir,None,100.0,0.0,80,25,0.0,0.00392,0.1,287
Ir,None,100.0,0.0,100,25,0.0,0.00392,0.1,285
Ir,None,100.0,0.0,230,300,60.0,0.0093,0.1,305
Sr,Co,50.0,45.0,25,1100,720.0,0.25477707,0.1,304
