DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M),Electrolyte O2 Saturated (0/1),Overpotential (mV @10 mA cm-2)
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-15,94.60869565,5.391304348,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.05685,0.32215,1,0,5,1,0,324
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-30,87.84313725,12.15686275,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.1137,0.2653,1,0,5,1,0,293
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-40,82.28571429,17.71428571,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.1516,0.2274,1,0,5,1,0,284
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-50,75.59055118,24.40944882,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.1895,0.1895,1,0,5,1,0,274
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-60,67.36842105,32.63157895,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.2274,0.1516,1,0,5,1,0,265
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-70,57.02970297,42.97029703,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.2653,0.1137,1,0,5,1,0,270
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-60,67.36842105,32.63157895,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.1674,0.1116,1,0,5,1,0,275
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-60,67.36842105,32.63157895,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.1074,0.0716,1,0,5,1,0,285
10.1021/acsami.8b14172,Peoples R China,Chinese Acad Sci,ACS APPLIED MATERIALS & INTERFACES,10.383,12/28/2018,62,1484,0.041778976,Ti,Ir,None,None,Ir/TiN-60,67.36842105,32.63157895,0,0,160,180,1,0,1,0,25,0,0,0,0,0,0,0.0474,0.0316,1,0,5,1,0,294
10.1016/j.jechem.2020.02.002,Peoples R China,Jilin Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/30/2020,27,934,0.028907923,Ba,Ir,Pr,None,Ba4Ir3PrO3,50,37.5,12.5,0,25,,1,0,0,1,1150,,1440,0,0,0,0,0.562,0,0,0,2,0.1,,278
10.1016/j.jechem.2020.02.002,Peoples R China,Jilin Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/30/2020,27,934,0.028907923,Ba,Ir,Bi,None,Ba4Ir3BiO3,50,37.5,12.5,0,25,,1,0,0,1,900,,1440,0,0,0,0,0.562,0,0,0,2,0.1,,297
10.1016/j.jechem.2020.02.002,Peoples R China,Jilin Univ,JOURNAL OF ENERGY CHEMISTRY,13.599,6/30/2020,27,934,0.028907923,Ba,Ir,Nb,None,Ba4Ir3NbO3,50,37.5,12.5,0,25,,1,0,0,1,1150,,1440,0,0,0,0,0.562,0,0,0,2,0.1,,334
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr NC,92,8,0,0,220,180,1,0,1,0,25,0,0,0,0,0,0,0.05,0.2,0,0,5,1,0,165
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr NS,92,8,0,0,230,180,1,0,1,0,25,0,0,0,0,0,0,0.05,0.2,0,0,5,1,0,242
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr NC,92,8,0,0,220,180,1,0,1,0,25,0,0,0,0,0,0,0.05,0.2,0,0,5,0.1,0,170
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr NS,92,8,0,0,230,180,1,0,1,0,25,0,0,0,0,0,0,0.05,0.2,0,0,5,0.1,0,181
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,Ru,Ir,None,None,RuIr L,92,8,0,0,230,180,1,0,1,0,500,,5,0,1,0,0,0.05,0.2,0,0,5,1,0,284
10.1038/s41467-018-07678-w,Peoples R China,Jilin Univ,NATURE COMMUNICATIONS,17.694,12/28/2018,193,1484,0.130053908,Sr,Ir,None,None,6H-SrIrO 3,88.86129964,11.13870036,0,0,150,720,1,0,0,0,700,1.7,360,0,0,0,0,0.9,0,0,0,0.5,1,1,248
10.1039/C9CY00302A,Japan,Natl Inst Mat Sci,CATALYSIS SCIENCE & TECHNOLOGY,6.177,8/2/2019,31,1267,0.024467245,Ir,None,None,None,IrOx-150,100,0,0,0,80,300,0,0,1,0,150,,60,0,0,0,0,0.0091,0.0182,0,0,5,1,,250
10.1039/C9CY00302A,Japan,Natl Inst Mat Sci,CATALYSIS SCIENCE & TECHNOLOGY,6.177,8/2/2019,31,1267,0.024467245,Ir,None,None,None,IrO2-400,100,0,0,0,80,300,0,0,1,0,400,,60,0,0,0,0,0.0091,0.0182,0,0,5,1,,290
10.1016/j.apcatb.2011.10.020,France,Univ Poitiers,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,3/17/2012,191,3961,0.048220146,Ru,None,None,None,RuO2,100,0,0,0,90,180,1,0,1,0,400,30,60,0,0,0,0,0.18,0,0,0,5,1,,310
10.1016/j.apcatb.2011.10.020,France,Univ Poitiers,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,3/17/2012,191,3961,0.048220146,Ru,Ir,None,None,Ru0.8Ir0.2O2,80,20,0,0,90,180,1,0,1,0,400,30,60,0,0,0,0,0.18,0,0,0,5,1,,362
10.1016/j.apcatb.2011.10.020,France,Univ Poitiers,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,3/17/2012,191,3961,0.048220146,Ir,Ru,None,None,Ir0.8Ru0.2O2,80,20,0,0,90,180,1,0,1,0,400,30,60,0,0,0,0,0.18,0,0,0,5,1,,399
10.1021/jacs.6b07199,Germany,Tech Univ Berlin,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,9/28/2016,312,2305,0.135357918,Sn,Ir,Sb,None,Ir/ATO,76.94549085,16.33986928,6.714639868,0,160,30,1,0,0,0,250,,120,0,1,0,0,0.0102,0.0408,1,0,5,0.1,0,435
10.1021/jacs.6b07199,Germany,Tech Univ Berlin,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,9/28/2016,312,2305,0.135357918,Ir,None,None,None,Ir/C,100,0,0,0,160,30,1,0,0,0,250,,120,0,1,0,0,0.0102,0.0408,0,0,5,0.1,0,454
10.1002/aenm.202001600,Peoples R China,Xi An Jiao Tong Univ,ADVANCED ENERGY MATERIALS,29.698,6/25/2020,75,939,0.079872204,Ir,None,None,None,IrO2/CC,100,0,0,0,60,30,0,0,0,0,400,,5,0,0,0,0,0.042,0,0,1,5,1,0,236
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Pr,None,None,Pr2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,5,0.1,1,298
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Nd,None,None,Nd2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,5,0.1,1,325
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Gd,None,None,Gd2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,5,0.1,1,354
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Tb,None,None,Tb2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,5,0.1,1,387
10.1002/adma.201805104,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,3/7/2019,67,1415,0.047349823,Ir,Ho,None,None,Ho2Ir2O7,50,50,0,0,100,,1,0,0,0,900,,1440,0,0,0,0,0.057,0,0,0,5,0.1,1,409
10.1016/j.cej.2022.135851,Peoples R China,Jilin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,5/23/2022,4,242,0.016528926,Ir,None,None,None,IrOx,100,0,0,0,25,480,1,0,0,0,450,1,120,0,0,0,0,0.816,0,0,0,5,1,,334
10.1016/j.cej.2022.135851,Peoples R China,Jilin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,5/23/2022,4,242,0.016528926,Ir,Mo,None,None,IrMoOx-400,50,50,0,0,25,480,1,0,0,0,400,1,120,0,0,0,0,0.816,0,0,0,5,1,,284
10.1016/j.cej.2022.135851,Peoples R China,Jilin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,5/23/2022,4,242,0.016528926,Ir,Mo,None,None,IrMoOx-450,50,50,0,0,25,480,1,0,0,0,450,1,120,0,0,0,0,0.816,0,0,0,5,1,,267
10.1016/j.cej.2022.135851,Peoples R China,Jilin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,5/23/2022,4,242,0.016528926,Ir,Mo,None,None,IrMoOx-500,50,50,0,0,25,480,1,0,0,0,500,1,120,0,0,0,0,0.816,0,0,0,5,1,,321
10.1016/j.cej.2022.135851,Peoples R China,Jilin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,5/23/2022,4,242,0.016528926,Ir,Mo,None,None,Ir2MoOx,66.66666667,33.33333333,0,0,25,480,1,0,0,0,450,1,120,0,0,0,0,0.816,0,0,0,5,1,,432
10.1016/j.cej.2022.135851,Peoples R China,Jilin Univ,CHEMICAL ENGINEERING JOURNAL,16.744,5/23/2022,4,242,0.016528926,Mo,Ir,None,None,IrMo2Ox,66.66666667,33.33333333,0,0,25,480,1,0,0,0,450,1,120,0,0,0,0,0.816,0,0,0,5,1,,440
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,Zr,Ru,Co,None,Ru/Co-N-C-800 (Ru:Co=1:1),99.45148038,0.274259811,0.274259811,0,120,1440,0,0,0,0,800,5,180,0,1,0,0,0.00204,0.39796,0,0,5,1,0,232
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,Zr,Co,Ru,None,Ru/Co-N-C-800 (Ru:Co=1:2),99.17947095,0.547019368,0.273509684,0,120,1440,0,0,0,0,800,5,180,0,1,0,0,0.00204,0.39796,0,0,5,1,0,249
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,Zr,Ru,Co,None,Ru/Co-N-C-800 (Ru:Co=1:0.5),99.58804537,0.27463642,0.13731821,0,120,1440,0,0,0,0,800,5,180,0,1,0,0,0.00204,0.39796,0,0,5,1,0,241
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,Zr,Ru,Co,None,Ru/Co-N-C-700(Ru:Co=1:1),99.45148038,0.274259811,0.274259811,0,120,1440,0,0,0,0,700,5,180,0,1,0,0,0.00204,0.39796,0,0,5,1,0,257
10.1002/adma.202110103,Australia,Univ New South Wales,ADVANCED MATERIALS,32.086,4/29/2022,30,266,0.112781955,Zr,Ru,Co,None,Ru/Co-N-C-900(Ru:Co=1:1),99.45148038,0.274259811,0.274259811,0,120,1440,0,0,0,0,900,5,180,0,1,0,0,0.00204,0.39796,0,0,5,1,0,244
10.1021/acscatal.5b02730,USA,Univ Akron,ACS CATALYSIS,13.7,3/1/2016,226,2516,0.089825119,Ru,None,None,None,Ru Oxide Nanosheet,100,0,0,0,180,1080,0,0,1,0,400,,60,0,0,0,0,0.101910828,0,0,0,5,1,0,260
10.1021/acscatal.5b02730,USA,Univ Akron,ACS CATALYSIS,13.7,3/1/2016,226,2516,0.089825119,Ru,None,None,None,Ru Oxide Powerder,100,0,0,0,25,60,1,0,1,0,500,,60,0,0,1,0,0.101910828,0,0,0,5,1,0,280
10.1021/acsami.6b10436,India,Natl Inst Sci Educ & Res,ACS APPLIED MATERIALS & INTERFACES,10.383,10/26/2016,125,2277,0.054896794,Ru,None,None,None,1D-RuO2-CNx,100,0,0,0,120,480,1,1,0,0,350,,720,0,0,0,0,0.138857142,0.032571428,0,0,10,1,1,260
10.1021/acsami.9b16492,Peoples R China,Univ Sci & Technol China,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,24,1145,0.020960699,Pd,Ru,None,None,Pd@Ru-4layers,50,50,0,0,200,720,0,0,1,0,400,,240,0,0,0,0,0.04076,0.16304,0,0,10,0.1,1,225
10.1021/acsami.9b16492,Peoples R China,Univ Sci & Technol China,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,24,1145,0.020960699,Pd,Ru,None,None,Pd@Ru-2layers,66.66666667,33.33333333,0,0,200,720,0,0,1,0,400,,240,0,0,0,0,0.04076,0.16304,0,0,10,0.1,1,284
10.1021/acsami.9b16492,Peoples R China,Univ Sci & Technol China,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,24,1145,0.020960699,Pd,Ru,None,None,PdO@RuO2-4layers,50,50,0,0,200,720,0,0,1,0,400,,240,0,0,0,0,0.008152,0.195648,0,0,10,0.1,1,258
10.1021/acsami.9b16492,Peoples R China,Univ Sci & Technol China,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,24,1145,0.020960699,Pd,Ru,None,None,PdO@RuO2-2layers,66.66666667,33.33333333,0,0,200,720,0,0,1,0,400,,240,0,0,0,0,0.008152,0.195648,0,0,10,0.1,1,287
10.1038/s41929-019-0246-2,Peoples R China,Univ Sci & Technol China,NATURE CATALYSIS,40.706,4/22/2019,475,1369,0.34696859,Cu,Pt,Ru,None,Cu@Ru1每PtCu3,71.4,25.2,3.4,0,200,720,1,0,1,0,400,,720,0,1,0,1,0.054944205,0.128203145,0,0,10,0.1,1,280
10.1038/s41929-019-0246-2,Peoples R China,Univ Sci & Technol China,NATURE CATALYSIS,40.706,4/22/2019,475,1369,0.34696859,Cu,Pt,Ru,None,Ru1每PtCu,48.1,46.3,5.6,0,200,720,1,0,1,0,400,,720,0,1,0,1,0.043018388,0.100376238,0,0,10,0.1,1,250
10.1038/s41929-019-0246-2,Peoples R China,Univ Sci & Technol China,NATURE CATALYSIS,40.706,4/22/2019,475,1369,0.34696859,Pt,Cu,Ru,None,Ru1每Pt3Cu,68.7,23.1,8.2,0,200,720,1,0,1,0,400,,720,0,1,0,1,0.036404192,0.084943115,0,0,10,0.1,1,220
10.1016/j.ijhydene.2014.07.170,France,Univ Poitiers,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.139,11/28/2014,124,2975,0.041680672,Ru,Ir,None,None,Ru0.9Ir0.1O2,90,10,0,0,25,240,1,0,0,0,400,2,60,0,0,0,0,0.38,0,0,1,5,1,,270
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,None,None, 6H-SrIrO 3,88.86129964,11.13870036,0,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,252
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Co,None,Co:Ir =0.1:1,87.88240387,11.01599648,1.101599648,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,238
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Co,None,Co:Ir =0.15:1,87.40099932,10.95565276,1.643347914,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,247
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Co,None,Co:Ir =0.2:1,86.92484014,10.89596655,2.17919331,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,234
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Co,None,Co:Ir =0.25:1,86.45384106,10.83692715,2.709231788,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,284
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Co,None,Co:Ir =0.3:1,85.98791866,10.77852411,3.233557233,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,289
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Fe,None,Fe,86.92484014,10.89596655,2.17919331,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,290
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Ni,None,Ni,86.92484014,10.89596655,2.17919331,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,263
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Cu,None,Cu,86.92484014,10.89596655,2.17919331,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,251
10.1021/acsami.9b11287,Peoples R China,Jilin Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,12/2/2019,32,1145,0.027947598,Sr,Ir,Zn,None,Zn,86.92484014,10.89596655,2.17919331,0,150,720,1,0,0,0,500,1.7,180,0,0,0,0,0.45,0,0,0,1,0.1,1,275
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ru,None,None,Mn0.75Ru0.25O2-,58.13953488,41.86046512,0,0,25,60,1,0,0,0,350,,120,0,1,0,0,0.28,0,0,0,5,1,,238
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ru,None,None,Mn0.73Ru0.27O2-,55.55555556,44.44444444,0,0,25,60,1,0,0,0,350,,120,0,1,0,0,0.28,0,0,0,5,1,,208
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ru,None,None,Mn0.69Ru0.31O2-,53.19148936,46.80851064,0,0,25,60,1,0,0,0,350,,120,0,1,0,0,0.28,0,0,0,5,1,,218
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ru,None,None,Mn0.73Ru0.27O2-1,55.55555556,44.44444444,0,0,25,60,1,0,0,0,350,,180,0,1,0,0,0.28,0,0,0,5,1,,226
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ru,None,None,Mn0.73Ru0.27O2,55.55555556,44.44444444,0,0,25,60,1,0,0,0,350,,300,0,1,0,0,0.28,0,0,0,5,1,,285
10.1039/D1EE03610F,Peoples R China,Zhejiang Univ,ENERGY & ENVIRONMENTAL SCIENCE,39.714,5/14/2022,10,251,0.039840637,Mn,Ir,None,None,MnIrO2-,55.55555556,44.44444444,0,0,25,60,1,0,0,0,350,,120,0,1,0,0,0.28,0,0,0,5,1,,309
10.1016/j.jpowsour.2021.230950,Spain,CSIC,JOURNAL OF POWER SOURCES,9.794,3/22/2022,4,304,0.013157895,Sr,Ru,None,None,SrRuO3,50,50,0,0,140,,0,0,0,0,800,,720,0,0,0,0,0.5,0.1,0,0,10,0.1,1,186
10.1016/j.jpowsour.2021.230950,Spain,CSIC,JOURNAL OF POWER SOURCES,9.794,3/22/2022,4,304,0.013157895,Sr,Ru,K,None,K0.05Sr0.95RuO3,50,47.5,2.5,0,140,,0,0,0,0,950,,720,0,0,0,0,0.5,0.1,0,0,10,0.1,1,138
10.1016/j.jpowsour.2021.230950,Spain,CSIC,JOURNAL OF POWER SOURCES,9.794,3/22/2022,4,304,0.013157895,Sr,Ru,K,None,K0.1Sr0.9RuO3,50,45,5,0,140,,0,0,0,0,950,,720,0,0,0,0,0.5,0.1,0,0,10,0.1,1,152
10.1016/j.jpowsour.2021.230950,Spain,CSIC,JOURNAL OF POWER SOURCES,9.794,3/22/2022,4,304,0.013157895,Sr,Ru,K,None,K0.2Sr0.8RuO3,50,40,10,0,140,,0,0,0,0,950,,720,0,0,0,0,0.5,0.1,0,0,10,0.1,1,143
10.1039/D0TA10316K,Spain,CSIC,JOURNAL OF MATERIALS CHEMISTRY A,14.511,3/14/2021,19,677,0.028064993,Sr,Ir,Ni,None,Sr2IrNiO6,50,25,25,0,140,,0,0,0,0,900,,3600,0,0,0,0,0.255,0.51,0,0,10,0.1,1,295
10.1039/D0TA10316K,Spain,CSIC,JOURNAL OF MATERIALS CHEMISTRY A,14.511,3/14/2021,19,677,0.028064993,Sr,Ir,Co,None,Sr2IrCoO6,50,25,25,0,140,,0,0,0,0,1100,,720,0,0,0,0,0.255,0.51,0,0,10,0.1,1,305
10.1039/D0TA10316K,Spain,CSIC,JOURNAL OF MATERIALS CHEMISTRY A,14.511,3/14/2021,19,677,0.028064993,Sr,Ir,Fe,None,Sr2IrFeO6,50,25,25,0,140,,0,0,0,0,1100,,720,0,0,0,0,0.255,0.51,0,0,10,0.1,1,330
10.1039/D0TA10316K,Spain,CSIC,JOURNAL OF MATERIALS CHEMISTRY A,14.511,3/14/2021,19,677,0.028064993,Sr,Ir,Sc,None,Sr2IrScO6,50,25,25,0,140,,0,0,0,0,1100,,720,0,0,0,0,0.255,0.51,0,0,10,0.1,1,420
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-30,100,0,0,0,30,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,5,0.1,0,309
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-60,100,0,0,0,60,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,5,0.1,0,301
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-80,100,0,0,0,80,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,5,0.1,0,287
10.1016/j.jpowsour.2021.230506,South Korea,Korea Inst Energy Res,JOURNAL OF POWER SOURCES,9.794,10/7/2021,7,470,0.014893617,Ir,None,None,None,Ir/B4C-100,100,0,0,0,100,2880,1,1,0,0,25,0,0,0,0,0,0,0.00392,0.01568,1,0,5,0.1,0,285
10.1039/C9NA00568D,Japan,Tokyo Inst Technol,NANOSCALE ADVANCES,5.598,1/1/2020,10,1115,0.00896861,Ir,None,None,None,Ir/SiO2,100,0,0,0,230,120,1,0,1,0,300,,60,0,0,0,0,0.0093,0.026287908,0,0,10,0.1,,305
10.1038/s41467-019-08532-3,Singapore,Nanyang Technol Univ,NATURE COMMUNICATIONS,17.694,2/15/2019,190,1435,0.132404181,Sr,Co,Ir,None,SrCo0.9Ir0.1O3-,50,45,5,0,25,,1,0,0,1,1100,,720,0,1,0,0,0.25477707,0.101910828,0,0,10,0.1,,304
10.1002/admi.201500669,USA,Rice Univ,ADVANCED MATERIALS INTERFACES,6.389,7/13/2016,112,2382,0.047019312,S,Ta,None,None,2H-TaS2,66.66666667,33.33333333,0,0,25,,1,0,0,1,750,0.034722222,20160,0,1,0,0,1,0,0,1,5,1,,556
10.1002/admi.201500669,USA,Rice Univ,ADVANCED MATERIALS INTERFACES,6.389,7/13/2016,112,2382,0.047019312,S,Ta,None,None,1T-TaS2,66.66666667,33.33333333,0,0,25,,1,0,0,1,900,0.034722222,20160,0,1,0,0,1,0,0,1,5,1,,462
10.1016/j.apcatb.2021.120562,Peoples R China,China Univ Geosci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/7/2021,19,470,0.040425532,Sr,Ir,None,None,M-SrIrO 3,78.19677705,21.80322295,0,0,150,720,1,0,0,0,700,,360,0,0,0,0,0.2264,0,0,0,,1,,269
10.1016/j.apcatb.2021.120562,Peoples R China,China Univ Geosci,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/7/2021,19,470,0.040425532,Sr,Ir,S,None,S doped M-SrIrO 3,73.28657643,20.43413585,6.279287723,0,150,720,1,0,0,0,700,,360,0,1,0,0,0.2264,0,0,0,,1,,228
