DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),LSV Scanning Speed (mV s-1),Electrolyte Proton Concentration (M),Electrolyte O2 Saturated (0/1),Overpotential (mV @10 mA cm-2)
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,Ce,None,None,Ru3MoOx,75,25,0,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,5,1,,199
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,Mo,None,None,Ru3MoCeOx,60,20,20,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,5,1,,164
10.1016/j.apcatb.2021.120528,Peoples R China,Harbin Inst Technol,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,10/8/2021,20,469,0.042643923,Ru,Ce,Mo,None,Ru3MoCe2Ox,50,33.33333333,16.66666667,0,60,720,1,0,0,0,500,10,60,0,0,0,0,0.3,0,0,1,5,1,,181
10.1002/smtd.202101236,South Korea,Korea Univ,SMALL METHODS,15.367,11/25/2021,6,421,0.014251781,Ru,Ir,None,None,RuIr CNT,66.66666667,33.33333333,0,0,80,10,1,0,1,0,240,,60,0,1,0,0,0.127,0.127,0,0,2,0.1,0,219
10.1002/smtd.202101236,South Korea,Korea Univ,SMALL METHODS,15.367,11/25/2021,6,421,0.014251781,Ru,Ir,Mn,None,Mn-RuIr CNT,63.82978723,31.91489362,4.255319149,0,80,10,1,0,1,0,240,,60,0,1,0,0,0.127,0.127,0,0,2,0.1,0,198
10.1002/smtd.202101236,South Korea,Korea Univ,SMALL METHODS,15.367,11/25/2021,6,421,0.014251781,Ru,Ir,Mn,None,H-Mn-RuIr CNT,54.54545455,27.27272727,18.18181818,0,80,10,1,0,1,0,240,,60,0,1,0,0,0.127,0.127,0,0,2,0.1,0,229
10.1002/smtd.202101236,South Korea,Korea Univ,SMALL METHODS,15.367,11/25/2021,6,421,0.014251781,Ru,Ir,None,None,RuIr NPs,80,20,0,0,25,360,1,1,0,0,25,0,0,0,0,0,0,0.127,0.127,0,0,2,0.1,0,232
10.1038/s41467-021-26336-2,Peoples R China,Soochow Univ,NATURE COMMUNICATIONS,17.694,10/26/2021,42,451,0.093126386,Ir,None,None,None,1T-IrO2,100,0,0,0,25,0,0,0,0,1,800,10,180,1,0,0,0,0.212,0,0,0,5,0.1,1,197
10.1038/s41467-021-26336-2,Peoples R China,Soochow Univ,NATURE COMMUNICATIONS,17.694,10/26/2021,42,451,0.093126386,Ir,None,None,None,Rutile IrO2,100,0,0,0,25,0,0,0,0,1,900,10,120,1,0,0,0,0.212,0,0,0,5,0.1,1,297
10.1016/j.cej.2021.132825,Peoples R China,South China Univ Technol,CHEMICAL ENGINEERING JOURNAL,16.744,12/10/2021,8,406,0.019704433,Co,None,None,None,Co@NCNT/PC,100,0,0,0,80,360,1,0,0,0,800,5,120,0,1,0,0,0.1225,0.3775,0,0,5,1,0,530
