DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1016/j.jpowsour.2021.229903,Peoples R China,Chinese Acad Sci,JOURNAL OF POWER SOURCES,9.794,7/1/2021,11,568,0.019366197,Ru,Y,F,None,YRuO-PVDF2,35.64547206,35.64547206,0.287090559,0,80,300,1,0,0,0,400,5,1440,0,1,0,0,2,0.4,0,1,1,10,10,0.531478917
10.1021/acssuschemeng.0c08887,Peoples R China,Chinese Acad Sci,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,8/29/2021,8,509,0.015717092,Ir,None,None,None,pIrO2,100,0,0,0,55,180,1,0,0,0,450,,30,0,0,0,0,0.354,0,0,0,1,10,6,0.636487896
10.1021/acssuschemeng.0c08887,Peoples R China,Chinese Acad Sci,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,9.224,8/29/2021,8,509,0.015717092,Ir,Gd,None,None,5%-Gd-pIrO2,95,5,0,0,55,180,1,0,0,0,450,,30,0,0,0,0,0.354,0,0,0,1,10,6,0.522444234
10.1016/j.ceramint.2021.05.166,Peoples R China,Zhengzhou Univ,CERAMICS INTERNATIONAL,5.532,8/5/2021,8,533,0.015009381,S,Mo,Co,None,Co-MoS2,78.94736842,18.42105263,0.026315789,0,200,1200,0,0,0,0,25,0,0,0,0,0,0,0.112,0,0,1,1,10,40,-0.259637311
10.1007/s12274-021-3843-8,Peoples R China,Shenzhen Univ,NANO RESEARCH,10.269,9/28/2021,12,479,0.025052192,Ru,Sr,None,None,SrRuO3,50,50,0,0,25,,1,0,0,1,1200,5,600,0,0,0,0,0.5,0,0,0,1,10,30,0.176091259
10.1007/s12274-021-3843-8,Peoples R China,Shenzhen Univ,NANO RESEARCH,10.269,9/28/2021,12,479,0.025052192,Ru,None,None,None,RuO2,100,0,0,0,25,,1,0,0,1,800,5,600,0,0,0,0,0.5,0,0,0,1,10,30,0.029383778
10.1007/s12274-021-3843-8,Peoples R China,Shenzhen Univ,NANO RESEARCH,10.269,9/28/2021,12,479,0.025052192,Ru,None,None,None,RuO2,100,0,0,0,25,,1,0,0,1,800,5,600,0,0,0,0,4,0,0,0,1,10,30,-0.244125144
10.1038/s41467-021-26025-0,South Korea,Inst Basic Sci IBS,NATURE COMMUNICATIONS,17.694,10/15/2021,29,462,0.062770563,Ir,Mo,None,None,Ir-MoO3,50,50,0,0,80,720,1,0,0,0,500,5,180,0,0,0,0,0.5,0,0,1,1,10,50,0.278753601
10.1038/s41467-021-26025-0,South Korea,Inst Basic Sci IBS,NATURE COMMUNICATIONS,17.694,10/15/2021,29,462,0.062770563,Ir,Mo,None,None,Ir-MoO3,50,50,0,0,80,720,1,0,0,0,500,5,180,0,0,0,0,0.5,0,0,1,1,100,50,0.28780173
10.1038/s41467-021-23390-8,USA,Univ Wisconsin,NATURE COMMUNICATIONS,17.694,7/1/2021,102,568,0.179577465,Co,Ce,None,None,10at%Ce-Co3O4,90,10,0,0,80,360,0,0,0,0,400,,60,0,0,0,0,490,0,0,1,1,5,100,0.049218023
10.1038/s41467-021-23390-8,USA,Univ Wisconsin,NATURE COMMUNICATIONS,17.694,7/1/2021,102,568,0.179577465,Co,None,None,None,Co3O4,100,0,0,0,80,360,0,0,0,0,400,,60,0,0,0,0,490,0,0,1,1,5,100,0.079181246
10.1038/s41467-021-23390-8,USA,Univ Wisconsin,NATURE COMMUNICATIONS,17.694,7/1/2021,102,568,0.179577465,Co,Ce,None,None,10at%Ce-Co3O4,90,10,0,0,80,360,0,0,0,0,400,,60,0,0,0,0,490,0,0,1,0.1,5,100,0.025305865
10.1038/s41467-021-23390-8,USA,Univ Wisconsin,NATURE COMMUNICATIONS,17.694,7/1/2021,102,568,0.179577465,Co,None,None,None,Co3O4,100,0,0,0,80,360,0,0,0,0,400,,60,0,0,0,0,490,0,0,1,0.1,5,100,0.041392685
10.1021/acsnano.1c00266,Peoples R China,Hong Kong Polytech Univ,ACS NANO,18.027,6/19/2021,21,580,0.036206897,Ru,Y,Sr,None,YSRO-15,50,42.5,0.075,0,80,720,0,0,0,0,900,,360,0,0,0,0,0.071,0.284,0,0,1,10,28,-1.397940009
10.1016/j.nanoen.2021.105909,Peoples R China,Soochow Univ,NANO ENERGY,19.069,5/23/2021,26,607,0.042833608,Ru,Fe,None,None,E-Ru/Fe ONAs/C,58.00112333,41.99887667,0,0,180,300,0,0,1,0,250,,60,0,0,0,1,0.178977272,0.102272727,0,0,1,5,9,0.932473765
10.1016/j.isci.2019.100756,Peoples R China,Chinese Acad Sci,ISCIENCE,6.107,2/20/2020,70,1065,0.0657277,Ru,Co,None,None,Co0.11Ru0.89O2-o,65.16533159,34.83466841,0,0,25,1440,1,0,0,0,350,10,240,0,0,0,0,0.8492569,0,0,0,1,10,50,0.071882007
10.1002/ange.201814075,France,F-75231 Paris 05,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,4/10/2019,106,1381,0.076755974,Sr,Co,Ir,None,Sr2Co1Ir1,50,25,0.25,0,25,,1,0,0,1,1100,1,1440,0,0,0,0,0.255102,0.0510204,0,0,0.1,10,24,0.23299611
10.1039/D0TA02496A,Peoples R China,Jilin Univ,JOURNAL OF MATERIALS CHEMISTRY A,14.511,6/11/2020,53,953,0.055613851,Ru,Co,None,None,RuCo@CD,69.65593248,30.34406752,0,0,200,360,0,0,0,0,900,,240,0,1,0,0,0.0905,0.8145,0,0,1,10,20,0.389166084
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,Ir,None,None,None,IrO2,100,0,0,0,25,,1,0,0,0,550,110,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,1.58172216
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,W,Ir,None,None,W 0.57 Ir 0.43 O3,57,43,0,0,25,,1,0,0,0,550,110,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,1.492760389
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,W,Ir,None,None,W 0.92 Ir 0.08 O 3,92,8,0,0,25,,1,0,0,0,550,110,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,2.247285703
10.1039/C7EE02626A,USA,Univ Louisville,ENERGY & ENVIRONMENTAL SCIENCE,39.714,11/1/2017,87,1906,0.045645331,W,Ir,None,None,W 0.99 Ir 0.01 O3,99,1,0,0,25,,1,0,0,0,550,110,1.5,0,0,0,0,0.8492569,0,0,0,2,20,0.555555556,2.267640982
10.1002/anie.201900796,Peoples R China,Jilin Univ,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,7/24/2019,121,1276,0.094827586,Sr,Ir,Ti,None,Ir-STO,79.51807229,6.827309237,0.136546185,0,180,720,0,0,0,0,600,1.7,360,0,0,0,0,0.21,0,0,0,0.1,10,20,-0.508638306
