temperature_K,salt_conc,salt,PC,DEC,EC,EMC,EA,DME,Sulfolane,TFP,DMC,2-MeTHF,conductivity_S_cm
263.15,1.0,LiAsF6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
313.15,1.0,LiAsF6,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,8.5
272.95,0.148148148,LiBOB,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.428571429
298.15,0.837078652,LiClO4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.635730858
282.85,0.666042155,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.471428571
266.9435931,1.0,LiClO4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.395814116
282.85,0.425226148,LiBF4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.555555556
312.45,2.066043777,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465158924
253.35,0.9351,LiPF6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.781
303.15,1.5,LiPF6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,16.2962963
233.75,1.069565217,LiBOB,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.172510519
293.15,0.5,LiBF4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.29
213.15,1.0,LiAsF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.86
253.35,0.3256,LiPF6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857
243.65,1.515105386,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
292.65,1.663494004,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913290255
292.65,0.37297729,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273282867
233.15,0.358099063,LiPF6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911111111
263.15,2.002,LiPF6,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,2.325
238.0565114,0.8,LiBOB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.895801261
282.85,1.718400583,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392318911
312.45,0.4496,LiPF6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.321
263.15,0.304761905,LiBOB,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.656641604
213.15,1.0,LiAsF6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
293.15,0.499725952,LiPF6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.951219512
292.65,0.18490566,LiBOB,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.696958028
282.85,0.238334643,LiBOB,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026933004
292.65,1.338470128,LiBF4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226018984
