Mo,Nb,Ta,W,sigma_T,x,y,reduced modulus,E_ROM,C11_ROM,C12_ROM,C44_ROM,shear_modulus_from_ROM,bulk_modulus_from_ROM,V_ROM,dV_ROM,a_ROM,b_ROM,hardness
17.2,38.4,28.4,16.0,0.941932369188164,-9.0,-22.5,126.85,215.491999999999,329.276399999999,151.935999999999,78.832,83.6065141385526,633.148399999999,17.5605619542852,1.16260137182468,3.273426008,2.83487008033668,5.79
16.6,40.2,26.6,16.6,0.933948378650486,-4.5,-22.5,128.48,214.526,329.2662,151.708,78.154,83.297309568797,632.6822,17.5618342017444,1.15633443217491,3.27351296,2.83494538297759,5.78
16.4,41.9,25.1,16.6,0.922629790738763,0.0,-22.5,122.16,212.863,328.5188,151.224,77.167,82.70824575458,630.966799999999,17.5662236678641,1.1511771207343,3.273792244,2.83518725001646,5.3
15.9,44.2,23.0,16.9,0.908482147576599,4.5,-22.5,122.68,210.959999999999,327.8263,150.709999999999,76.006,82.0423716679375,629.2463,17.5713370261157,1.14296691944377,3.274120308,2.83547136177453,5.26
14.3,45.9,22.2,17.7,0.879918094171948,9.0,-22.5,124.42,209.071928071928,326.256843156843,150.573426573426,75.2867132867132,81.322281736145,627.403696303696,17.5935269426077,1.11595238145035,3.27553273526473,2.83669455966678,5.38
14.1,47.3,20.7,17.9,0.875924503316329,13.5,-22.5,125.46,208.125,326.1597,150.27,74.613,81.0051176966616,626.6997,17.5929754640112,1.11406153652223,3.27550081999999,2.83666692023675,5.65
13.5,49.4,19.1,18.0,0.855772985906029,18.0,-22.5,121.92,205.791,324.7795,149.708,73.38,80.1459502096019,624.1955,17.6048779458391,1.10037613909049,3.27625683799999,2.83732165103047,5.45
12.1,51.8,18.2,17.9,0.810638801290775,22.5,-22.5,124.93,201.62,321.1857,148.929999999999,71.618,78.5385533435649,619.045699999999,17.6405271419707,1.06300655091649,3.27851466,2.8392769822397,6.0
11.8,53.6,16.5,18.1,0.801088285419309,27.0,-22.5,126.97,200.183,320.7386,148.514,70.706,78.0298422643542,617.7666,17.6430435610476,1.05779027713615,3.278677098,2.83941765767424,5.7
11.6,55.3,15.4,17.8,0.781616270751875,31.5,-22.5,133.82,197.833166833166,319.146053946053,147.886113886113,69.4985014985015,77.1437269027398,614.918281718281,17.6545443234592,1.04635450518296,3.27940388811188,2.84004707637435,5.96
21.8,24.8,40.1,13.2,1.04430021317933,-40.5,-18.0,146.51,226.826826826826,334.104704704704,154.528528528528,85.3263263263263,87.5287821486231,643.161761761761,17.5113410369383,1.23170251509885,3.27027609609609,2.83214217660821,8.23
21.3,26.5,38.7,13.5,1.02992242538716,-36.0,-18.0,132.59,225.369,333.4581,154.182,84.493,87.0275115044087,641.8221,17.5174536299104,1.22377318436892,3.27066678,2.83248051879384,6.38
20.5,28.6,37.0,13.9,1.01173254845978,-31.5,-18.0,125.02,223.423999999999,332.4565,153.762,83.442,86.3441557634331,639.9805,17.5278121304751,1.21123984235357,3.271327516,2.83305273295504,6.42
20.2,30.3,34.8,14.7,1.01538626857913,-27.0,-18.0,128.07,223.417999999999,333.601399999999,153.673999999999,83.053,86.4393149909229,640.9494,17.5174962023609,1.21334281337803,3.270682478,2.83249411366063,6.28
19.9,32.1,32.7,15.2,1.01456746973083,-22.5,-18.0,132.05,222.692692692692,334.014314314314,153.407407407407,82.3743743743743,86.2478433473768,640.829129129129,17.5127595403627,1.2125439805208,3.27038839439439,2.83223942978734,6.63
19.2,33.8,31.3,15.6,1.00029905485852,-18.0,-18.0,128.11,221.213213213213,333.295695695695,153.103103103103,81.5685685685685,85.7264598721918,639.501901901901,17.5207996954192,1.20228129400793,3.27090204604604,2.83268426516637,6.05
19.0,35.4,29.3,16.4,1.0019303028579,-13.5,-18.0,130.27,221.360639360639,334.516483516483,153.048951048951,81.2637362637362,85.8682994441853,640.614385614385,17.5097091822673,1.20517939127861,3.27020757242757,2.83208283337051,6.03
18.3,37.4,27.7,16.5,0.984598660346549,-9.0,-18.0,131.2,219.033033033033,333.1002002002,152.508508508508,80.055055055055,85.0214026609297,638.117217217217,17.5224464081138,1.19260160252979,3.27101667667667,2.83278353820455,6.07
17.7,39.3,26.2,16.9,0.967540506997508,-4.5,-18.0,124.04,217.471528471528,332.400499500499,152.155844155844,79.1728271728271,84.4703467094465,636.712187812187,17.5295946374073,1.18305782981602,3.27147369430569,2.83317932708125,6.75
16.9,41.3,24.5,17.3,0.951781452384201,0.0,-18.0,123.74,215.639,331.4913,151.762,78.173,83.8152091475646,635.0153,17.5391769497908,1.17086903009502,3.272085384,2.83370906589576,6.21
16.2,43.3,22.6,17.9,0.940649436753294,4.5,-18.0,125.4,214.368,331.2374,151.474,77.359,83.3856008571024,634.1854,17.5428340951814,1.16247230610995,3.27232347,2.83391525442004,6.36
15.4,45.4,21.2,18.0,0.916046170403698,9.0,-18.0,124.51,211.748,329.4498,150.904,76.074,82.4096268320637,631.2578,17.5596233974088,1.14564252945467,3.273388828,2.83483788151217,5.9
14.8,47.6,19.5,18.0,0.895575585100387,13.5,-18.0,126.78,209.131131131131,327.855455455455,150.26026026026,74.6996996996996,81.4441764314387,628.375975975976,17.5728780627667,1.13193272249227,3.27422989389389,2.83556626594253,5.9
13.5,49.1,19.1,18.3,0.863566832016743,18.0,-18.0,125.03,206.709,325.6255,149.942,73.779,80.50389104416,625.5095,17.5985349125788,1.10485553615825,3.27585751999999,2.83697583149828,5.58
12.8,51.2,17.1,18.9,0.852100660345167,22.5,-18.0,126.38,205.356999999999,325.351599999999,149.626,72.91,80.0379706639292,624.603599999999,17.6021628018354,1.09598262530456,3.276093838,2.83718048888966,5.87
12.2,52.7,16.2,18.9,0.832046049300914,27.0,-18.0,127.91,203.284,323.829399999999,149.182,71.929,79.2534315805946,622.1934,17.6163844210221,1.08081706030908,3.276995338,2.83796121079117,5.81
11.3,55.3,14.8,18.7,0.794558636118751,31.5,-18.0,128.32,199.427572427572,320.891208791208,148.323676323676,70.1218781218781,77.7841869517241,617.538561438561,17.6425940992947,1.05336859938153,3.27865478121878,2.83939833077477,5.88
22.3,23.3,41.7,12.7,1.04840591396018,-45.0,-13.5,125.42,227.591,334.039099999999,154.718,85.8889999999999,87.7545154333952,643.475099999999,17.5111045286382,1.23626596712258,3.270255648,2.83212446803754,5.44
22.2,24.7,39.8,13.2,1.05395204114851,-40.5,-13.5,121.87,227.48048048048,334.94034034034,154.572572572572,85.4854854854855,87.8032635884365,644.085485485485,17.5015868981348,1.23944250602447,3.26965856656656,2.83160738034805,5.39
22.1,25.8,37.8,14.3,1.06801337644393,-36.0,-13.5,124.17,228.88,337.3237,154.81,85.71,88.4399491943544,646.9437,17.4809623368179,1.24728830107601,3.26836280399999,2.83048521704814,5.58
21.7,27.9,35.5,14.9,1.06318083197373,-31.5,-13.5,127.66,227.957,337.660899999999,154.505999999999,84.9189999999999,88.1854039881317,646.672899999999,17.4772599954754,1.24465752816341,3.268135112,2.8302880299919,5.65
20.1,30.3,34.2,15.4,1.02805391974951,-27.0,-13.5,127.23,224.849999999999,335.2317,154.019999999999,83.573,87.0184043869456,643.2717,17.5049344086812,1.21884031795465,3.26989302999999,2.83181043163767,5.72
19.9,31.7,32.3,16.0,1.03316664783995,-22.5,-13.5,126.91,224.818818818818,336.192492492492,153.919919919919,83.2192192192192,87.0878326018278,644.032332332332,17.4957107116368,1.22100907278364,3.2693154014014,2.83131019059733,5.92
